Month,sd_like,sd_tweet,sd_retweet
Jun-20,61461.77098,0.707106781,0
Jun-20,54537.94486,0.816496581,0
May-20,12212.32728,0.5,0.5
May-20,10743.47787,0.547722558,0.547722558
Apr-20,27025.28315,0,0
Apr-20,38129.58634,0.904534034,0.467099366
Mar-20,45201.9327,1.349897115,0.707106781
Mar-20,10949.67663,0.46291005,0.46291005
Feb-20,17162.62934,0.666666667,0.5
Feb-20,45032.56349,0.816496581,0.699205899
Jan-20,33201.91272,0.632455532,0
Jan-20,22332.78786,0.640869944,0.46291005
Dec-19,38034.05899,0.957427108,0.957427108
Dec-19,26788.46312,0.333333333,0.726483157
Nov-19,17694.23229,0.447213595,0.447213595
Nov-19,55388.13982,0.51754917,0.46291005
Oct-19,109253.7384,0.991031209,0.46291005
Oct-19,28818.73274,0.726483157,0
Sep-19,0,0,0
Sep-19,24347.31019,0,0
Aug-19,34833.56651,0.377964473,0
Aug-19,32776.88814,0.640869944,0.353553391
Jul-19,37922.18663,0.668557923,0.389249472
Jul-19,93097.41299,1.054092553,0
Jun-19,63939.21923,1.054092553,0
Jun-19,76511.61033,1.975225342,0.778498944
May-19,58420.46827,0.666666667,0.333333333
May-19,58394.88736,1.135292424,0.421637021
Apr-19,18117.32528,0.603022689,0
Apr-19,24357.7132,0.924416278,0
Mar-19,39509.97143,0.971825316,0.421637021
Mar-19,38321.26243,0.600925213,0
Feb-19,52487.92917,0.516397779,0.40824829
Feb-19,15729.90027,0.717740563,0.288675135
Jan-19,27086.55882,0.823272602,0.483045892
Jan-19,23429.33803,1.059349905,0.966091783
Dec-18,21748.94467,1.154700538,0.452267017
Dec-18,13018.67245,1.601281538,0.947330933
Nov-18,18284.61934,1.083624669,0.668557923
Nov-18,17390.78424,0.967417922,0.518874522
Oct-18,39880.7276,1.311372171,0.492365964
Oct-18,16527.74413,0.869718493,0.277350098
Sep-18,27117.54242,1.328019715,0.687551651
Sep-18,23441.09556,1.183215957,0.904534034
Aug-18,19847.79035,1.167261753,0.403112887
Aug-18,24494.83872,0.493548117,0.506369684
Jul-18,19989.48076,0.674948558,0.483045892
Jul-18,36483.09393,1.260850344,0
Jun-18,13556.74464,0.522232968,0.467099366
Jun-18,21386.88436,0.767947648,0.43852901
May-18,34564.15523,1.414213562,0.934198733
May-18,11169.83631,0.707106781,0.447213595
Apr-18,34604.41897,0.737864787,1.059349905
Apr-18,25296.30592,1.672334684,0.497245158
Mar-18,26435.2525,0.825420306,0.755928946
Mar-18,23588.66363,0.831209415,0.750757194
Feb-18,33287.5408,1.054092553,1.054092553
Feb-18,41480.9025,0.924416278,0.674199862
Jan-18,43607.60262,1.398586414,0.646206173
Jan-18,17625.94204,0.892582375,0.513552591
Dec-17,40207.66768,0.866025404,0.527046277
Dec-17,42184.74025,0.854850414,0.650443636
Nov-17,16498.15709,0.421637021,0.699205899
Nov-17,19781.22006,1.887883091,2.2870875
Oct-17,49954.74453,2.081665999,3.087609647
Oct-17,15790.44412,0.941123948,1.060098827
Sep-17,22839.51831,1.050902281,3.577248006
Sep-17,11897.77178,1.081817762,1.099450412
Aug-17,20973.75573,2.017778127,1.589802669
Aug-17,18961.44752,1.266647388,0.615727926
Jul-17,37250.62278,1.302013093,1.505545305
Jul-17,21283.79437,1.825741858,1.870828693
Jun-17,36382.06551,1.362770288,3.239635488
Jun-17,44359.0282,1.624221425,6.638272868
May-17,15388.99394,1.204159458,6.082420023
May-17,7552.547951,0.816496581,3.044120015
Apr-17,18717.59024,1.298350602,2.658320272
Apr-17,21528.74767,1.751190072,2.992052966
Mar-17,14575.30387,1.527525232,2.028957039
Mar-17,18036.44287,1.400549343,3.012793235
Feb-17,18303.14034,1.781640375,12.08179196
Feb-17,,,
